Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
VR-Test,Success,4,0,2018-02-02 15:13:02 +0530,2018-02-02 15:40:49 +0530,0:00:09
new,Success,13,1,2018-01-29 10:38:13 +0530,2018-01-31 10:02:23 +0530,0:00:37
Try To Create a Folder/Hello,Success,3,0,2018-01-31 10:50:19 +0530,2018-01-31 10:53:14 +0530,0:00:00
OCR-Test,Success,1,0,2018-01-31 10:56:50 +0530,2018-01-31 10:56:50 +0530,0:00:10
Practise-Day2,Success,1,0,2018-02-01 12:22:57 +0530,2018-02-01 12:22:57 +0530,0:00:04
Try To Create a Folder/Test1-OCR,Failure,4,3,2018-01-31 09:50:56 +0530,2018-01-31 10:53:14 +0530,0:00:00
Master-Script,Success,4,2,2018-01-31 09:55:43 +0530,2018-01-31 10:53:14 +0530,0:00:01
File Read,Failure,4,3,2018-01-31 14:51:41 +0530,2018-02-01 13:04:37 +0530,0:00:00
Test,Success,3,0,2018-01-30 16:38:34 +0530,2018-01-30 16:47:01 +0530,0:00:02
